geometry,label,date,tile_number,id,location_id,image_dir
"[[[36.749236, -1.242043], [36.749196, -1.288329], [36.795185, -1.28837], [36.795224, -1.242082], [36.749236, -1.242043]]]",0,2018-12-28,14,sen12floods_s1_labels_0014_2018_12_28,14,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0014_2018_12_28
"[[[36.795224, -1.242082], [36.795185, -1.28837], [36.841175, -1.28841], [36.841213, -1.242121], [36.795224, -1.242082]]]",0,2018-12-28,15,sen12floods_s1_labels_0015_2018_12_28,15,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0015_2018_12_28
"[[[32.479308, 0.30452], [32.47931, 0.2582], [32.525321, 0.258201], [32.525319, 0.304522], [32.479308, 0.30452]]]",0,2018-12-28,82,sen12floods_s1_labels_0082_2018_12_28,82,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0082_2018_12_28
"[[[36.841213, -1.242121], [36.841175, -1.28841], [36.887167, -1.288448], [36.887204, -1.242158], [36.841213, -1.242121]]]",0,2018-12-28,30,sen12floods_s1_labels_30_2018_12_28,30,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_30_2018_12_28
"[[[32.525314, 0.397163], [32.525317, 0.350843], [32.571328, 0.350845], [32.571326, 0.397166], [32.525314, 0.397163]]]",0,2018-12-28,75,sen12floods_s1_labels_0075_2018_12_28,75,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0075_2018_12_28
"[[[36.70325, -1.242004], [36.703209, -1.288288], [36.749196, -1.288329], [36.749236, -1.242043], [36.70325, -1.242004]]]",0,2018-12-28,13,sen12floods_s1_labels_0013_2018_12_28,13,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0013_2018_12_28
"[[[32.61734, 0.350847], [32.617342, 0.304526], [32.663354, 0.304527], [32.663352, 0.350849], [32.61734, 0.350847]]]",0,2018-12-28,81,sen12floods_s1_labels_0081_2018_12_28,81,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0081_2018_12_28
"[[[-1.734157, 6.777547], [-1.734277, 6.731243], [-1.687959, 6.731121], [-1.687835, 6.777424], [-1.734157, 6.777547]]]",0,2018-12-28,95,sen12floods_s1_labels_0095_2018_12_28,95,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0095_2018_12_28
"[[[36.657265, -1.241963], [36.657223, -1.288246], [36.703209, -1.288288], [36.70325, -1.242004], [36.657265, -1.241963]]]",0,2018-12-28,12,sen12floods_s1_labels_0012_2018_12_28,12,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0012_2018_12_28
"[[[32.479305, 0.35084], [32.479308, 0.30452], [32.525319, 0.304522], [32.525317, 0.350843], [32.479305, 0.35084]]]",0,2018-12-28,29,sen12floods_s1_labels_29_2018_12_28,29,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_29_2018_12_28
