geometry,label,date,tile_number,id,location_id,image_dir
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2018-12-23,1,sen12floods_s1_labels_0001_2018_12_23,0001,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0001_2018_12_23
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-04,1,sen12floods_s1_labels_0001_2019_01_04,0001,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0001_2019_01_04
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-16,1,sen12floods_s1_labels_0001_2019_01_16,0001,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0001_2019_01_16
"[[[-13.278048, 8.493532], [-13.278254, 8.447241], [-13.231762, 8.447033], [-13.231551, 8.493323], [-13.278048, 8.493532]]]",0,2019-01-28,1,sen12floods_s1_labels_0001_2019_01_28,0001,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0001_2019_01_28
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-16,4,sen12floods_s1_labels_0004_2018_12_16,0004,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0004_2018_12_16
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-21,4,sen12floods_s1_labels_0004_2018_12_21,0004,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0004_2018_12_21
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2018-12-28,4,sen12floods_s1_labels_0004_2018_12_28,0004,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0004_2018_12_28
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2019-01-02,4,sen12floods_s1_labels_0004_2019_01_02,0004,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0004_2019_01_02
"[[[18.627334, -33.849575], [18.626057, -33.895713], [18.681385, -33.896767], [18.682633, -33.850628], [18.627334, -33.849575]]]",0,2019-01-09,4,sen12floods_s1_labels_0004_2019_01_09,0004,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0004_2019_01_09
"[[[18.682633, -33.850628], [18.681385, -33.896767], [18.736717, -33.897797], [18.737935, -33.851655], [18.682633, -33.850628]]]",0,2018-12-16,5,sen12floods_s1_labels_0005_2018_12_16,0005,sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0005_2018_12_16
